"profile","region","currency","current_component","current_owner_repo","aws_service_candidate","required_for_pilot","quantity_name","monthly_quantity","unit","assumption_basis","pricing_status","notes"
"commercial_pilot","ap-southeast-1","USD","EMQX MQTT broker","rtk_video_cloud packaging / AWS-managed alternative","AWS IoT Core","yes","iot_telemetry_metered_messages","86400000","5 KB-metered messages/month","10000 connected devices * 12 telemetry/status messages/hour * 24 * 30 * ceil(1 KB / 5 KB).","quantity_only","1 raw telemetry message every 5 minutes per connected device; counted as one billing unit while payload <= 5 KB."
"commercial_pilot","ap-southeast-1","USD","EMQX MQTT broker","rtk_video_cloud packaging / AWS-managed alternative","AWS IoT Core","yes","iot_command_metered_messages","300000","5 KB-metered messages/month","10000 devices * 1 downlink command/day * 30 days * ceil(1 KB / 5 KB).","quantity_only","Command traffic assumption; counted as one billing unit while payload <= 5 KB."
"commercial_pilot","ap-southeast-1","USD","EMQX MQTT broker","rtk_video_cloud packaging / AWS-managed alternative","AWS IoT Core","yes","iot_shadow_update_metered_messages","7200000","5 KB-metered messages/month","10000 active devices * 1 reported-state update/hour * 24 * 30 * ceil(1 KB / 5 KB).","quantity_only","Shadow update traffic with usually-online device baseline; message billing count is separate from Device Shadow operation billing."
"commercial_pilot","ap-southeast-1","USD","Device shadow hot-state cache","rtk_video_cloud","Amazon ElastiCache for Valkey","yes","shadow_cache_node_hours","730","node-hours","1 non-redundant cache.t4g.small Valkey node * 730 hours for early-stage cache.","quantity_with_price_source","Represents original Redis-compatible cache; no replica/Multi-AZ in first estimate."
"commercial_pilot","ap-southeast-1","USD","Device shadow hot-state cache","rtk_video_cloud","Amazon ElastiCache for Valkey","yes","shadow_cache_memory","1.37","GB","cache.t4g.small provides 1.37 GiB memory; enough for initial 1 GB cache assumption.","quantity_with_price_source","Validate after measured cache object count and eviction policy."
"commercial_pilot","ap-southeast-1","USD","Cross-service broker","platform/operator","Amazon SQS with DLQ","deployment-dependent","cross_service_messages","110000","messages/month","Initial provisioning plus moderate online metadata lifecycle events.","quantity_only","Semantic-review required; current default is NATS JetStream."
"commercial_pilot","ap-southeast-1","USD","Cross-service broker","platform/operator","Amazon SQS with DLQ","deployment-dependent","cross_service_dead_letter_messages","1000","messages/month","Planning allowance for retry and dead-letter review.","quantity_only","Not a failure budget; just cost quantity."
"commercial_pilot","ap-southeast-1","USD","Reverse proxy / TLS / routing","platform/operator","Application Load Balancer","yes","alb_hours","730","load-balancer-hours","1 public ALB for frontend admin account and video HTTP paths.","quantity_only","Can split public/internal ALBs in later HA profile."
"commercial_pilot","ap-southeast-1","USD","Reverse proxy / TLS / routing","platform/operator","Application Load Balancer","yes","alb_lcu_hours","730","LCU-hours","1 average LCU across 730 hours for first estimate.","quantity_only","Replace with measured request bandwidth rule counts later."
"commercial_pilot","ap-southeast-1","USD","Reverse proxy / TLS / routing","platform/operator","Route 53","yes","dns_queries","1000000","queries/month","Planning quantity for public service domains.","quantity_only","Hosted zone counted separately."
"commercial_pilot","ap-southeast-1","USD","Reverse proxy / TLS / routing","platform/operator","Route 53","yes","hosted_zones","1","hosted zone-month","One hosted zone for pilot domain.","quantity_only","May be customer-owned DNS instead."
"commercial_pilot","ap-southeast-1","USD","Reverse proxy / TLS / routing","platform/operator","NAT Gateway","yes","nat_gateway_hours","730","gateway-hours","1 NAT gateway * 730 hours for baseline private subnet outbound access.","quantity_only","Robust profile uses 2 NAT gateways across AZs."
"commercial_pilot","ap-southeast-1","USD","WebRTC TURN data plane","rtk_video_cloud / platform","Amazon EC2","no","turn_instance_hours","0","instance-hours","No camera-capable devices in first estimate; WebRTC/TURN data plane excluded.","quantity_only","Add TURN host cost only when camera/WebRTC profile is enabled."
"commercial_pilot","ap-southeast-1","USD","WebRTC TURN data plane","rtk_video_cloud / platform","AWS data transfer","no","turn_relay_minutes","0","relay minutes/month","No camera-capable devices in first estimate; relay minutes excluded.","quantity_only","Add relay traffic only when camera/WebRTC profile is enabled."
"commercial_pilot","ap-southeast-1","USD","WebRTC TURN data plane","rtk_video_cloud / platform","AWS data transfer","no","turn_relay_egress","0","GB/month","No camera-capable devices in first estimate; TURN egress excluded.","quantity_only","Add relay egress only when camera/WebRTC profile is enabled."
"commercial_pilot","ap-southeast-1","USD","Metrics and alerting","platform/operator","Amazon Managed Service for Prometheus","yes","prometheus_samples_ingested","432000000","samples/month","10 scrape targets * 500 samples * 120 scrapes/hour * 24 * 30.","quantity_only","Can be reduced if using CloudWatch-only metrics."
"commercial_pilot","ap-southeast-1","USD","Metrics and alerting","platform/operator","Amazon Managed Grafana","deployment-dependent","grafana_users","5","users/month","Pilot operator dashboard users.","quantity_only","Optional if using CloudWatch dashboards only."
"commercial_pilot","ap-southeast-1","USD","Metrics and alerting","platform/operator","Amazon CloudWatch","yes","cloudwatch_alarms","30","alarms/month","Health metrics alerts broker alerts and database alerts.","quantity_only","First-pass alarm count."
"commercial_pilot","ap-southeast-1","USD","Central service logger","rtk_cloud_logger / platform","Amazon CloudWatch Logs","yes","service_log_ingestion","30","GB/month","Application and worker service logs for commercial pilot.","quantity_only","Excludes device runtime logs unless routed to CloudWatch."
"commercial_pilot","ap-southeast-1","USD","Central service logger","rtk_cloud_logger / platform","Amazon CloudWatch Logs","yes","runtime_debug_log_ingestion","3.6","GB/month","10000 active devices * 0.5 KB/hour * 24 * 30.","quantity_only","Device runtime/debug log traffic now assumes all registered devices are usually online."
"commercial_pilot","ap-southeast-1","USD","Central service logger","rtk_cloud_logger / platform","Amazon CloudWatch Logs","yes","log_retention","33.6","GB-month","33.6 GB/month log ingestion retained for 30 days in CloudWatch Logs.","quantity_with_price_source","Priced as CloudWatch log storage at 0.03 USD/GB-month in ap-southeast-1."
"commercial_pilot","ap-southeast-1","USD","Secrets","platform/operator","AWS Secrets Manager","yes","stored_secrets","50","secrets/month","DSNs auth secrets MQTT credentials webhook secrets HMAC keys and key references.","quantity_only","Private keys should use CloudHSM or KMS where applicable; ACM Private CA is not part of the default estimate."
"commercial_pilot","ap-southeast-1","USD","Secrets","platform/operator","AWS Secrets Manager","yes","secret_api_calls","10000","API calls/month","Service startup rotation and operational reads.","quantity_only","First-pass Secrets Manager request quantity."
"commercial_pilot","ap-southeast-1","USD","Key and certificate management","rtk_video_cloud / platform","AWS CloudHSM","yes","cloudhsm_hsm_hours","730","HSM-hours","1 HSM * 730 hours for early-stage token signing and CA key protection; no HSM redundancy assumed.","quantity_only","Represents HSM/HMS layer for keys and certificates; add more HSM-hours later if redundancy becomes required."
"commercial_pilot","ap-southeast-1","USD","Key and certificate management","rtk_video_cloud / platform","AWS KMS","yes","kms_customer_managed_keys","5","keys/month","Token signing envelope key backups logs secrets and object storage encryption contexts.","quantity_only","If CloudHSM owns signing keys KMS still protects data-at-rest keys."
"commercial_pilot","ap-southeast-1","USD","Key and certificate management","rtk_video_cloud / platform","AWS KMS","yes","kms_requests","100000","requests/month","Envelope encryption decrypt and signing-adjacent key operations estimate.","quantity_only","Refine after runtime key access patterns are measured."
"commercial_pilot","ap-southeast-1","USD","Device CA / app CA","rtk_video_cloud","Excluded from default estimate; use CloudHSM-backed certissuer instead of AWS Private CA","no","private_ca_authorities","0","CA-months","ACM Private CA excluded because certissuer signs through CloudHSM in the default estimate.","quantity_only","Add this back only for an AWS-managed CA profile."
"commercial_pilot","ap-southeast-1","USD","Device CA / app CA","rtk_video_cloud","CloudHSM-backed certissuer volume tracking","yes","initial_certificates_issued","11000","certificates","10000 initial device certs + 1000 app/user certs in pilot bootstrap.","quantity_tracking_only","Tracked as certissuer workload; no ACM Private CA per-certificate fee in default estimate."
"commercial_pilot","ap-southeast-1","USD","Device CA / app CA","rtk_video_cloud","CloudHSM-backed certissuer volume tracking","yes","steady_state_certificate_rotation","110","certificates/month","1 percent monthly rotation across 11000 app/device certs.","quantity_tracking_only","Tracked as certissuer/HSM workload; no ACM Private CA per-certificate fee in default estimate."
"commercial_pilot","ap-southeast-1","USD","Factory enrollment and certissuer","rtk_video_cloud","Amazon ECS on Fargate","yes","certissuer_compute_vcpu_hours","365","vCPU-hours","1 certissuer/factory enrollment task * 0.5 vCPU * 730 hours.","quantity_only","Can be split into separate tasks if deployed separately."
"commercial_pilot","ap-southeast-1","USD","Factory enrollment and certissuer","rtk_video_cloud","Amazon ECS on Fargate","yes","certissuer_memory_gb_hours","730","GB-hours","1 certissuer/factory enrollment task * 1 GB * 730 hours.","quantity_only","Runtime compute for certificate issuance service."
"commercial_pilot","ap-southeast-1","USD","mTLS service certificates","rtk_video_cloud / platform","CloudHSM-backed certissuer volume tracking","yes","internal_mtls_service_certificates","12","certificates","Service-to-service mTLS certs for certissuer factoryenroll account video admin MQTT clients and operators.","quantity_tracking_only","Tracked as certissuer/HSM workload; no ACM Private CA service fee in default estimate."
"commercial_pilot","ap-southeast-1","USD","Public TLS certificates","platform/operator","AWS Certificate Manager","yes","public_tls_certificates","4","certificates","Frontend admin account manager and video cloud public TLS certificates.","quantity_only","ACM public certs may not have direct certificate charges but count for inventory."
"commercial_pilot","ap-southeast-1","USD","Certificate revocation","rtk_video_cloud / platform","Amazon S3","yes","revocation_artifact_storage","1","GB-month","CRL OCSP and revocation evidence artifact storage with 30 day retention.","quantity_only","Maps device CA CRL OCSP and local revocation evidence."
"commercial_pilot","ap-southeast-1","USD","Certificate revocation","rtk_video_cloud / platform","Amazon S3","yes","revocation_artifact_requests","10000","GET requests/month","Pilot allowance for CRL OCSP or revocation artifact fetches.","quantity_only","If managed OCSP is used replace with service-specific pricing rows."
"commercial_pilot","ap-southeast-1","USD","Backups","platform/operator","Amazon RDS snapshots","yes","rds_backup_storage","250","GB-month","Account and video database backup storage allowance for the shared RDS server.","quantity_only","30 day backup retention; log data is estimated under CloudWatch Logs, not RDS backups."
"commercial_pilot","ap-southeast-1","USD","Backups","platform/operator","Amazon S3","yes","s3_backup_storage","250","GB-month","Object backup release artifact and escrow metadata storage allowance.","quantity_only","30 day backup and artifact retention."
"commercial_pilot","ap-southeast-1","USD","Backups","platform/operator","AWS Backup","deployment-dependent","protected_resources","3","protected resources/month","RDS databases and backup vault plan resources.","quantity_only","Optional centralized backup accounting row."
"commercial_pilot","ap-southeast-1","USD","CI/CD runners and artifacts","platform/operator","GitHub Actions plus Amazon S3","deployment-dependent","ci_build_minutes","2000","build minutes/month","Pilot release validation and deployment workflow allowance.","quantity_only","Use CodeBuild rows if moving CI/CD into AWS."
"commercial_pilot","ap-southeast-1","USD","CI/CD runners and artifacts","platform/operator","Amazon S3","deployment-dependent","ci_artifact_storage","20","GB-month","Release packages reports and temporary artifacts.","quantity_only","Does not include GitHub-hosted artifact storage."
"commercial_pilot_robust","ap-southeast-1","USD","Public website / lead portal","rtk_cloud_frontend","AWS Lambda or static S3/CloudFront, replacing always-on ECS Fargate for this estimate","no","frontend_compute_vcpu_hours","0","vCPU-hours","Public frontend no longer modeled as always-on Fargate; static assets use S3/CloudFront and dynamic rendering can use Lambda.","quantity_only","Original always-on frontend container cost removed from early-stage estimate."
"commercial_pilot_robust","ap-southeast-1","USD","Public website / lead portal","rtk_cloud_frontend","AWS Lambda or static S3/CloudFront, replacing always-on ECS Fargate for this estimate","no","frontend_compute_memory_gb_hours","0","GB-hours","Public frontend no longer modeled as always-on Fargate; no frontend Fargate memory hours counted.","quantity_only","Original always-on frontend container cost removed from early-stage estimate."
"commercial_pilot_robust","ap-southeast-1","USD","Public website / lead portal","rtk_cloud_frontend","Amazon S3 plus Amazon RDS for lead/contact data if dynamic capture remains","yes","frontend_persistence_storage","20","GB-month","Lead/contact/search persistence stays in managed storage; static website assets are tracked separately under S3/CloudFront.","quantity_only","If lead/contact capture moves fully into an API service, this row can be merged into the shared RDS estimate."
"commercial_pilot_robust","ap-southeast-1","USD","Public website / lead portal","rtk_cloud_frontend","Amazon CloudFront with S3 origin","yes","frontend_static_and_video_egress","100","GB/month","100 GB/month CloudFront data transfer out, based on 2,000 page hits/day and a rounded 1.5-1.7 MB average delivered page/assets allowance.","quantity_with_price_source","CDN data transfer is estimated as an individual CloudFront line item; replace with measured page weight later."
"commercial_pilot_robust","ap-southeast-1","USD","Public website / lead portal","rtk_cloud_frontend","Amazon CloudFront","yes","frontend_https_requests","60000","requests/month","2,000 page hits/day * 30 days = 60,000 CloudFront HTTPS requests/month.","quantity_with_price_source","Request cost is small compared with CloudFront egress."
"commercial_pilot_robust","ap-southeast-1","USD","Public website / lead portal","rtk_cloud_frontend","AWS Lambda","deployment-dependent","frontend_lambda_requests","60000","requests/month","2,000 dynamic frontend/lead/contact invocations/day * 30 days = 60,000 Lambda requests/month.","quantity_with_price_source","Set to zero if public frontend is purely static and dynamic lead/contact APIs live in another backend."
"commercial_pilot_robust","ap-southeast-1","USD","Public website / lead portal","rtk_cloud_frontend","AWS Lambda","deployment-dependent","frontend_lambda_gb_seconds","3072","GB-seconds/month","60,000 invocations * 256 MB * 200 ms average duration.","quantity_with_price_source","Refine after profiling actual Go-rendered dynamic routes."
"commercial_pilot_robust","ap-southeast-1","USD","Public website / lead portal","rtk_cloud_frontend","Amazon S3","yes","frontend_static_asset_storage","1","GB-month","Static website build artifacts and public assets stored in S3 origin.","quantity_with_price_source","Small compared with CloudFront egress."
"commercial_pilot_robust","ap-southeast-1","USD","Cost model basis","platform/operator","Planning assumption","yes","end_users","2500","users","2,500 users in first commercial-pilot estimate.","quantity_tracking_only","Used for per-user cost calculation; device total remains 10,000."
"commercial_pilot_robust","ap-southeast-1","USD","Cost model basis","platform/operator","Planning assumption","yes","devices_per_user","4","devices/user","4 registered devices per user.","quantity_tracking_only","2,500 users * 4 devices/user = 10,000 registered devices."
"commercial_pilot_robust","ap-southeast-1","USD","Cost allocation basis","platform/operator","Planning assumption","yes","user_cost_weight","0.10","ratio","Default weighted allocation assigns 10 percent of shared AWS cost to user-driven account app admin audit and session surfaces.","quantity_tracking_only","Do not add raw per-user and per-device costs together; this weight splits one shared monthly cost pool."
"commercial_pilot_robust","ap-southeast-1","USD","Cost allocation basis","platform/operator","Planning assumption","yes","device_cost_weight","0.90","ratio","Default weighted allocation assigns 90 percent of shared AWS cost to device-driven MQTT shadow telemetry logs firmware certificates storage and device API workload.","quantity_tracking_only","Recommended default allocation for RTK Cloud device-dominant economics."
"commercial_pilot_robust","ap-southeast-1","USD","Cost allocation sensitivity","platform/operator","Planning assumption","no","device_heavy_user_cost_weight","0.05","ratio","Aggressive device-heavy sensitivity case for fleet-first deployments with minimal user app activity.","quantity_tracking_only","Use only as sensitivity; default remains 0.10 user and 0.90 device."
"commercial_pilot_robust","ap-southeast-1","USD","Cost allocation sensitivity","platform/operator","Planning assumption","no","device_heavy_device_cost_weight","0.95","ratio","Aggressive device-heavy sensitivity case for fleet-first deployments with minimal user app activity.","quantity_tracking_only","Use only as sensitivity; default remains 0.10 user and 0.90 device."
"commercial_pilot_robust","ap-southeast-1","USD","AWS Support and consulting","platform/operator","AWS Business Support+","yes","support_business_plus_monthly_fee","379.14","USD/month","Default support adder for the robust two-CloudHSM scenario: max(29 USD/month per account, tiered percent of 4212.71 USD gross monthly AWS charges). Current tier is 9 percent because usage is below 10k USD/month.","quantity_with_price_source","AWS Support is a monthly plan fee, not a per-ticket fee; robust profile keeps Business Support+ as the default support plan."
